vəə	the
dïï	be
tuu	to
əv	of
amd	and
əə	a
Imd	in
vat	that
havee	have
ai	I
It	it
foää	for
~ät	not
ämd	on
uiv	with
hïï	he
af	as
yuu	you
duu	do
at	at
vif	this
dət	but
hIf	his
dai	by
fiimd	from
vee	they
uïï	we
fee	say
hää	her
fhïï	she
ää	or
amd	an
uii	will
~ai	my
uämd	one
ää	all
uud	would
vee	there
vee	their
uät	what
fo	so
ət	up
at	out
If	if
adaut	about
huu	who
bet	get
uikh	which
bo	go
~ïï	me
uemd	when
~eʔ	make
bamd	can
ïïiʔ	like
taimd	time
mo	no
jəft	just
hImd	him
mo	know
teʔ	take
tïtää	people
Imtuu	into
yïï	year
yoää	your
bud	good
fəmd	some
bud	could
vemd	them
fïï	see
əvää	other
vamd	than
vemd	then
~äu	now
ïïʔ	look
omïï	only
bəmd	come
Itf	its
ovää	over
vimʔ	think
aafo	also
dakʔ	back
aftää	after
yuf	use
tuu	two
häu	how
ää	our
uoäʔ	work
fäft	first
uee	well
uae	way
ïvemd	even
~uu	new
uamt	want
dekäv	because
amïï	any
vïv	these
bIv	give
dee	day
moft	most
əf	us
