the, ðə
be, bï
to, tu
of, əv
and, and
a, ə
in, In
that, ðat
have, have
I, ai
it, It
for, for
not, nät
on, än
with, wið
he, hï
as, as
you, yu
do, du
at, at
this, ðis
but, bət
his, hIs
by, bai
from, frəm
they, ðe
we, wï
say, se
her, hr
she, shï
or, r
an, an
will, wil
my, mai
one, wän
all, äl
would, wud
there, ðer
their, ðer
what, wät
so, so
up, əp
out, at
if, If
about, abaut
who, hu
get, get
which, wikh
go, go
me, mï
when, wen
make, mek
can, kan
like, laik
time, taim
no, no
just, jəst
him, hIm
know, no
take, tek
people, pïpl
into, Intu
year, yïr
your, yor
good, gud
some, səm
could, kud
them, ðem
see, sï
other, əðr
than, ðan
then, ðen
now, näu
look, lək
only, onlï
come, kəm
its, Its
over, ovr
think, ðink
also, also
back, bakk
after, aftr
use, yus
two, tu
how, häu
our, är
work, work
first, frst
well, wel
way, wae
even, ïven
new, nu
want, want
because, bekäz
any, anï
these, ðïz
give, gIv
day, de
most, most
us, əs
